ANTdriftrate,Percdriftrate,LearningAcc,SymSpn
0.353823383,0.110599358,76.25,30
0.256961303,0.061846158,88.75,35
0.317069221,0.111312447,61.25,25
0.297420103,0.143455349,83.75,34
0.252339635,0.084045636,78.75,26
0.222470494,0.076828331,83.75,32
0.247906182,0.161203454,58.75,22
0.3265384,0.069379974,51.25,24
0.136766994,0.014201829,62.5,29
0.333333665,0.104753484,86.25,38
0.350959628,0.146395512,77.5,29
0.222993141,0.131345699,76.25,30
0.244843432,0.151372115,53.75,35
0.324342357,0.15271407,76.25,42
0.232505266,0.112519442,62.5,30
0.239369286,0.059264149,63.75,26
0.282618133,0.137802507,70,18
0.304490213,0.160748031,63.75,23
0.292698331,0.104870789,57.5,30
0.111291847,0.021186338,56.25,36
0.301186981,0.036458309,62.5,22
0.282181743,0.105514191,88.75,10
0.289749983,0.146260099,70,31
0.208957876,0.1012414,56.25,42
0.20977972,0.135937509,76.25,21
0.278563657,0.1006252,80,22
0.354245463,0.044554904,85,7
0.30713704,0.162520295,86.25,20
0.265862222,0.094954027,46.25,30
0.29146152,0.107536408,81.25,23
0.161659885,0.081829166,80,18
0.211793415,0.069678603,72.5,27
0.163390378,0.120007764,76.25,20
0.296529179,0.046526432,65,37
0.27341122,0.104119914,83.75,24
0.316440549,0.148844255,58.75,24
0.196491816,0.047794065,37.5,25
0.253305136,0.075713341,57.5,14
0.320836634,0.112528195,93.75,33
0.314367721,0.129979948,66.25,29
0.266576892,0.116263727,78.75,11
0.407909204,0.125868943,83.75,4
0.167117365,0.09598055,85,30
0.303620933,0.083195842,66.25,21
0.267500145,0.068660399,87.5,18
0.087455934,-0.003107162,75,35
0.401657819,0.14874693,73.75,21
0.275044453,0.12419234,72.5,23
0.322505581,0.107089666,75,23
0.361472181,0.134355381,86.25,27
0.388306254,0.123134407,82.5,27
-0.032786981,0.089885366,43.75,21
0.239717417,0.069663568,56.25,21
0.266467974,0.100998506,50,36
0.271841343,0,56.25,22
0.290388811,0.130047283,88.75,39
0.331970031,0.118387659,67.5,42
0.270200057,0.083074302,83.75,29
0.092205844,0.073668578,33.75,42
0.230420318,0.048549657,70,25
0.351588467,0.106152318,82.5,35
0.145857015,0.117844019,82.5,25
0.294962348,0.077008682,47.5,26
0.22393343,0.100295719,78.75,21
0.319987693,0.251733421,85,39
0.299950385,0.101236455,76.25,32
0.297978417,0.144509673,81.25,31
0.24093948,0.136129719,63.75,16
0.345522515,0.058217669,52.5,28
0.38296474,0.144631779,70,19
0.293331966,0.068573312,72.5,18
0.189708942,-0.003137038,21.25,13
0.3140944,0.118863252,77.5,22
0.295384619,0.073933514,63.75,36
0.052208053,-0.012335024,38.75,27
0.248144325,0.107581069,85,42
0.087536607,0.058189443,68.75,42
0.250361794,0.115271572,51.25,22
0.390935604,0.163587199,68.75,33
0.317527882,0.171529921,76.25,30
0.245690602,0.124634071,77.5,38
0.21280727,0.105673097,73.75,17
0.237288804,0.080678191,41.25,27
0.284247642,0.140713334,81.25,35
0.173905047,0.074222135,72.5,28
0.247058433,0.042270044,83.75,19
0.333803989,0.114406919,92.5,32
0.277036591,0.026311553,75,27
0.282921114,0.1689355,62.5,33
0.256136431,0.181485536,77.5,14
0.245851032,0.128104242,77.5,35
0.409892628,0.100476099,73.75,20
0.213656955,0.168533363,86.25,7
0.30067034,0.159244217,68.75,21
0.288562309,0.128113461,73.75,21
0.15439602,0.103049444,56.25,23
0.301361096,0.075762957,36.25,34
0.166095727,0.031791589,32.5,27
0.338748144,0.127172578,81.25,33
0.279987495,0.092094018,77.5,30
0.22798099,0.095486617,82.5,22
0.250874043,0.105286496,73.75,21
0.30494967,0.152851411,68.75,23
0.357259987,0.159049384,78.75,21
0.276453838,0.084169166,46.25,17
0.209681399,0.085847587,61.25,16
0.304944354,0.095195276,87.5,29
0.332860902,0.124037707,72.5,28
0.178847825,0.035710211,86.25,20
0.312572462,0.128930021,82.5,31
0.336591445,0.09159194,72.5,33
0.292542378,0.088033557,71.25,14
0.325392156,0.159588183,71.25,40
0.245403893,0.114414436,80,20
0.322822818,0.160262563,85,36
0.27147428,0.136414339,65,24
0.338754429,0.134652673,83.75,26
0.21518761,0.062797675,73.75,21
0.28674925,0.119679462,86.25,20
0.337094974,0.094634838,66.25,29
0.314589738,0.062046074,65,42
0.329188524,0,37.5,24
0.299367418,0.189211671,60,35
0.244278408,0.087241925,55,28
0.018265146,0.125150983,78.75,39
0.342027969,0.222784479,73.75,16
0.282038974,0.041344167,70,17
0.212848242,0.012522997,36.25,27
0.235918478,0.111530105,72.5,34
0.101616488,0.119853135,85,33
0.348897981,0.146823834,48.75,26
0.31696205,0.117228206,51.25,42
0.241724749,0.118154043,73.75,8
0.257039756,0.049014437,73.75,30
0.268600057,0.076910484,78.75,37
0.297402031,0.108064894,85,18
0.290771984,0.165070874,91.25,24
0.287000037,0.101708551,78.75,20
0.242950612,0.012946266,55,14
0.189656696,0.012857731,66.25,25
0.275022894,0.064562932,70,23
0.231776496,0.127035911,71.25,30
0.288650213,0.044476257,48.75,19
0.270798288,0.074738591,57.5,27
0.147208594,0.091493261,58.75,27
0.245433482,0.11302052,81.25,24
0.305979485,0.130633633,80,34
0.119086207,0.093573954,68.75,34
0.272194799,0.111730407,63.75,24
0.260399527,0.101764217,71.25,21
0.363797233,0.141632346,82.5,23
0.253454454,0.114093414,80,25
0.31118205,0.04561416,43.75,26
0.257897262,0.116607035,71.25,28
0.288301852,0.096303254,60,33
0.335873785,0.109206451,77.5,27
0.27188651,0.065250519,68.75,39
0.228482668,0.121484816,60,28
0.235027123,0.051307219,83.75,23
0.219867057,0.103895954,70,36
0.197307129,0.055353289,83.75,23
0.289471574,0.127708928,76.25,32
0.205044352,0.132514339,73.75,23
0.229142552,0.0963938,40,42
0.24010929,0.115279284,62.5,32
0.327158868,0.104345145,75,28
0.254688397,0.07332314,60,20
0.236368193,0.191054569,66.25,19
0.2548086,0.078662625,72.5,14
0.255466749,-0.005615021,43.75,42
0.17937824,0.062977374,45,15
0.265037788,0.129843224,77.5,36
0.311496999,0.094992109,85,28
0.264875829,0.153362185,78.75,34
0.267996701,0.030229287,55,24
0.287733777,0.149624038,87.5,37
0.269438695,0.074972228,52.5,37
0.33805627,0.136840553,88.75,23
0.168264108,0.037673063,35,20
0.298587399,0.108985904,76.25,15
0.284619554,0.130449348,47.5,27
0.241412888,0.076283598,83.75,39
0.240929615,0.047374331,47.5,32
0.207207373,0.065246647,85,14
0.298022268,0.124433191,80,31
0.28001452,0.059613637,83.75,32
0.246751035,0.102520287,78.75,15
0.253117882,0.080796413,47.5,40
0.219732027,0.069114525,55,29
0.32787142,0.11464255,72.5,42
0.30335979,0.151575984,40,25
0.366717297,0.216819404,83.75,34
0.184892043,0.087029095,78.75,15
0.257833517,0.035307962,86.25,16
0.266891604,0.161027702,72.5,19
0.339704068,0.096480339,86.25,40
0.315482968,0.072074946,80,42
0.256923977,0.099586781,53.75,17
0.126841884,0.098992867,80,19
0.28258638,0.096982209,77.5,32
0.308135582,0.103626773,46.25,42
0.222712955,0.09106998,16.25,29
0.08809278,0.069434561,68.75,22
0.323946756,0.135736386,62.5,30
0.269009155,0.043611155,76.25,22
0.307661691,0.108695216,56.25,42
0.238707731,0.089229301,85,31
0.177427133,0.069750596,47.5,32
0.251063943,0.086250186,76.25,32
0.216526586,0.098337193,76.25,23
0.29061736,0.06912724,76.25,42
0.316547335,0.115668141,77.5,33
0.31945759,0.091423792,83.75,30
0.220850863,0.151458239,73.75,25
0.324198889,0.161418196,73.75,28
0.226387769,0.107324429,68.75,18
0.187871982,0.006164291,61.25,31
0.296153132,0.140993648,80,19
0.272782125,0.110841931,85,34
0.381881435,0.175521252,78.75,21
0.252150186,0.065114879,67.5,42
0.372007189,0.05565625,67.5,34
0.356893254,0.059049761,62.5,42
0.297009354,0.040574463,47.5,27
0.440933964,0.127329652,73.75,12
0.362363043,0.119329641,63.75,39
0.283630583,0.107156919,67.5,20
0.282442883,0.116208826,80,42
0.227393687,0.083141978,52.5,31
0.081261426,-0.014267121,57.5,28
0.196128515,0.07007256,66.25,30
0.186613404,0.063559988,55,29
0.291458466,0.136262527,78.75,23
0.255540063,0.067658534,37.5,28
0.323908526,0.170312285,72.5,28
0.295837554,0.042561188,75,42
0.141624208,0.077993154,50,24
0.038409544,-0.012380553,18.75,35
0.205363682,0.131679546,83.75,6
0.277126983,0.109150022,51.25,36
0.225262291,0.105338841,53.75,22
0.334348703,0.039488474,22.5,36
0.167511054,0.05375095,78.75,29
0.236412119,0.098732748,57.5,25
0.254391892,0.119008075,78.75,29
0.373872742,0.115070284,82.5,39
0.43808753,0.116327169,47.5,39
0.364317291,0.136299304,68.75,23
0.309464992,0.133060994,63.75,28
0.260617551,0.097183196,66.25,27
